"rule_id","authority","standard","ig_version","severity","message","pattern","check_tree_preview","status","converted_at","p21_primitive","notes"
"CG0067","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","DSDECOD = 'DEATH'","value-cross-dataset-eq-lit","all: - operator: subject_has_matching_row name: USUBJID reference_dataset: SS reference_column: SSSTRESC expected_value: 'DEAD' - operator: not_equal_to name: DSDECOD value: 'DEATH'","predicate","2026-04-24T04:13:09Z",NA,NA
"CG0069","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","DSSTDTC = DM.DTHDTC","value-equals-cross-dataset-col","all: - operator: differs_by_key name: ""DSSTDTC"" reference_dataset: ""DM"" reference_column: ""DTHDTC"" key: ""USUBJID""","predicate","2026-04-24T09:20:55Z",NA,NA
"CG0071","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","DSTERM = 'COMPLETED' or the reason for discontinuation","ds-dispevt-dsterm-populated","all: - operator: is_contained_by name: DSCAT value: - 'DISPOSITION EVENT' - operator: empty name: DSTERM","predicate","2026-04-24T04:30:08Z",NA,NA
"CG0076","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Event is not derived",NA,NA,"narrative",NA,NA,NA
"CG0077","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","MHCAT ^= the same value for all records",NA,NA,"narrative",NA,NA,NA
"CG0078","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","MHENDTC < DM.RFSTDTC",NA,NA,"narrative",NA,NA,NA
"CG0081","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--STAT = 'NOT DONE'",NA,NA,"narrative",NA,NA,NA
"CG0097","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","CMTRT = collected on CRF",NA,NA,"narrative",NA,NA,NA
"CG0098","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","CMTRT = collected medication name only",NA,NA,"narrative",NA,NA,NA
"CG0100","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","ECDOSE > 0",NA,NA,"narrative",NA,NA,NA
"CG0101","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","ECDOSE = null or > 0",NA,NA,"narrative",NA,NA,NA
"CG0103","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","EXDOSU = protocol-specified unit",NA,NA,"narrative",NA,NA,NA
"CG0104","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","EXTRT = protocol-specified treatment",NA,NA,"narrative",NA,NA,NA
"CG0109","CDISC","SDTM-IG","3.2","Medium","DM.ACTARMCD in ('SCRNFAIL', 'NOTASSGN', 'NOTTRT')",NA,NA,"narrative",NA,NA,NA
"CG0112","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--DOSTXT value is non-numeric",NA,NA,"narrative",NA,NA,NA
"CG0117","CDISC","SDTM-IG","3.2","Medium","ACTARM in ('Screen Failure', 'Not Assigned', 'Not Treated', 'Unplanned Treatment')","value-cross-dataset-not-in-cond-in-set","all: - operator: missing_in_ref name: ACTARM reference_dataset: TA reference_key: ARM - operator: is_not_contained_by name: ACTARM value: ['Screen Failure', 'Not Assigned', 'Not Treated', 'Unplanned Treatment']","predicate","2026-04-24T04:13:14Z",NA,NA
"CG0120","CDISC","SDTM-IG","3.2","Medium","ARM in ('Screen Failure', 'Not Assigned')","value-cross-dataset-not-in-cond-in-set","all: - operator: missing_in_ref name: ARM reference_dataset: TA reference_key: ARM - operator: is_not_contained_by name: ARM value: ['Screen Failure', 'Not Assigned']","predicate","2026-04-24T04:13:14Z",NA,NA
"CG0124","CDISC","SDTM-IG","3.2","Medium","ACTARMCD in ('SCRNFAIL', 'NOTASSGN', 'NOTTRT', 'UNPLAN')","value-cross-dataset-not-in-cond-in-set","all: - operator: missing_in_ref name: ACTARMCD reference_dataset: TA reference_key: ARMCD - operator: is_not_contained_by name: ACTARMCD value: ['SCRNFAIL', 'NOTASSGN', 'NOTTRT', 'UNPLAN']","predicate","2026-04-24T04:13:14Z",NA,NA
"CG0128","CDISC","SDTM-IG","3.2","Medium","ARMCD in ('SCRNFAIL', 'NOTASSGN')","value-cross-dataset-not-in-cond-in-set","all: - operator: missing_in_ref name: ARMCD reference_dataset: TA reference_key: ARMCD - operator: is_not_contained_by name: ARMCD value: ['SCRNFAIL', 'NOTASSGN']","predicate","2026-04-24T04:13:14Z",NA,NA
"CG0133","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","DTHFL = 'Y'","dm-dd-subject-dthfl","all: - operator: has_next_corresponding_record name: USUBJID value: reference_dataset: DD by: USUBJID - operator: not_equal_to name: DTHFL value: 'Y'","predicate","2026-04-24T04:30:31Z",NA,NA
"CG0138","CDISC","SDTM-IG","3.2","Medium","Population flags in SUPPDM",NA,NA,"narrative",NA,NA,NA
"CG0140","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RACE = 'MULTIPLE'","dm-race-multiple-supp","all: - operator: supp_row_count_exceeds name: USUBJID ref_dataset: SUPPDM qnam_pattern: '^RACE' threshold: 1 - operator: not_equal_to name: RACE value: 'MULTIPLE'","predicate","2026-04-24T08:10:15Z",NA,"Predicate via supp_row_count_exceeds (SUPPDM QNAM ^RACE rowcount)."
"CG0141","CDISC","SDTM-IG","3.2","Medium","RFENDTC = null",NA,NA,"narrative",NA,NA,NA
"CG0143","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RFICDTC = earliest DS.DSSTDTC",NA,NA,"narrative",NA,NA,NA
"CG0145","CDISC","SDTM-IG","3.2","Medium","RFSTDTC = null",NA,NA,"narrative",NA,NA,NA
"CG0147","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RFXENDTC = latest value of EX.EXSTDTC or EX.EXENDTC",NA,NA,"narrative",NA,NA,"Requires max/latest-across-related-rows semantic (not supported by current ordinal by_key op)"
"CG0148","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RFXSTDTC = earliest EX.EXSTDTC",NA,NA,"narrative",NA,NA,"Requires max/latest-across-related-rows semantic (not supported by current ordinal by_key op)"
"CG0155","CDISC","SDTM-IG","3.2,3.3","Medium","Value length = 4 characters beginning with 'AP' and ending with 2 character SDTM domain",NA,NA,"narrative",NA,NA,NA
